1, -0.5000, -0.5000, 0
2, -0.3586, -0.3586, 0
3, -0.4900, -0.3000, 0
4, -0.5000, -0.3800, 0
5, -0.1760, -0.2769, 0
6, -0.0282, -0.1422, 0
7, 0.1600, -0.1300, 0
8, 0.1695, 0.0698, 0
9, -0.1888, -0.0229, 0
10, -0.3498, 0.0957, 0
11, -0.3300, 0.2800, 0
12, 0.0900, 0.2000, 0
13, -0.1400, -0.0900, 0
14, 0.3574, 0.0011, 0
15, 0.2514, 0.3181, 0
16, 0.0300, -0.2900, 0
17, -0.3200, 0.1300, 0
18, -0.0300, 0.3600, 0
19, -0.3100, 0.1200, 0
20, -0.3900, 0.1400, 0
21, 0.1700, -0.1400, 0
22, 0.4128, 0.4362, 0
23, -0.4200, 0.2800, 0
24, 0.1900, 0.2800, 0
25, 0.2036, -0.3892, 0
26, 0.2800, -0.0100, 0
27, -0.4300, 0.2000, 0
28, 0.4700, 0.3800, 0
29, 0.5000, 0.5000, 0
